City,Latitude,Longitude,AQI
Pinecrest,25.6670476,-80.3081074,2.0
Colchester,51.8896903,0.8994651,2.0
Gorham,37.718384,-89.4859292,3.0
Adelanto,34.5827699,-117.409215,2.0
Tacambaro,19.2356879,-101.4585063,2.0
Hampton,37.0300969,-76.3452057,3.0
Fairview Heights,38.5889386,-89.990382,4.0
Ixtepec,20.026111,-97.646667,2.0
Merriam,39.0168058,-94.689947,3.0
Crawfordsville,40.0401991,-86.8990249,3.0
Fords,40.5411231,-74.31652441076895,3.0
Xalatlaco,19.1843821,-99.4145622,2.0
Sturgis,44.409707,-103.509079,2.0
West Odessa,31.82832275,-102.48718903256065,2.0
Hazleton,40.9646867,-75.9852789,3.0
Riviera Beach,26.784343,-80.0650293,2.0
Cuilapam,16.9963386,-96.7797728,2.0
Idaho Falls,43.4887907,-112.03628,2.0
Goose Creek,32.9961038,-80.0387292,3.0
Buford,34.1206564,-84.0043513,3.0
South Miami,25.7076017,-80.2933846,2.0
Joliette,46.0239798,-73.4419936,2.0
Millington,35.3414745,-89.8973084,3.0
Elizabethtown,37.693952,-85.8591285,3.0
Flowing Wells,33.54386625,-116.02643686749008,3.0
Ogdensburg,44.694285,-75.486374,3.0
Bettendorf,47.5852476,7.2770871,1.0
Northbrook,42.128704,-87.8265089,3.0
Angleton,29.16941,-95.4318847,3.0
Immokalee,26.4257905,-81.4256005,2.0
Puerto Escondido,15.8693331,-97.0726428,2.0
Redmond,47.6694141,-122.1238767,2.0
Fridley,45.0838291,-93.2590388,2.0
Glen Allen,37.316934,-90.02781236389168,3.0
North Las Vegas,36.2005843,-115.121584,2.0
Rio Grande City,26.3827771,-98.8205251,2.0
Great Bend,38.3625063,-98.7804087,3.0
Newark,40.735657,-74.1723667,3.0
South Salt Lake,40.7074741,-111.8882709,2.0
Kentville,45.0784875,-64.495212,3.0
Aguadilla,18.4274359,-67.1541343,1.0
Ruiz,21.9505231,-105.1461465,2.0
Huntington,38.4192496,-82.445154,3.0
