Lat,Lon,AQI,CO,NH3,NO2,O3,PM10,PM2.5,SO2
34.9745,-92.0165,2,247.0,0.82,3.94,86.55,4.45,3.98,0.61
35.1894,-114.053,3,196.93,0.35,0.51,114.44,20.08,9.6,0.55
40.8351,-73.1312,2,243.66,0.5,9.77,94.41,2.15,1.54,1.62
-32.035,-52.0986,1,330.45,0.97,9.17,47.92,4.72,1.94,0.84
32.5185,-92.1476,2,257.02,1.38,11.48,92.98,5.37,4.47,4.17
42.0773,-71.6295,1,357.15,1.41,31.19,42.2,5.99,4.52,0.51
31.8469,-81.5959,2,226.97,0.3,2.16,76.53,2.71,2.24,0.84
40.6501,-73.9496,2,357.15,2.41,41.81,47.92,6.47,3.79,8.35
39.0911,-94.4155,2,247.0,1.17,9.6,90.84,3.89,3.34,5.66
19.7167,-98.4167,2,168.56,0.67,1.5,67.95,1.91,1.5,0.29
42.8509,-72.5579,2,213.62,0.25,2.91,68.67,1.05,0.93,0.09
39.0018,-76.6875,2,290.39,1.16,18.85,62.94,4.58,2.78,0.97
27.5064,-99.5075,2,226.97,0.45,1.8,94.41,12.47,5.22,0.75
44.6497,-93.2427,2,226.97,1.49,3.3,94.41,4.86,4.08,1.36
28.4167,-100.7667,2,213.62,0.57,2.38,91.55,6.64,2.85,3.67
33.5017,-117.6626,3,220.3,0.17,2.72,104.43,8.08,4.55,0.94
38.5828,-90.6629,2,230.31,0.46,2.79,80.82,1.74,1.41,2.47
33.9926,-83.7202,2,270.37,3.42,10.28,77.25,9.32,6.57,0.5
32.9482,-96.7297,2,320.44,1.68,23.99,82.97,5.93,4.65,2.92
32.9346,-97.2517,3,253.68,0.93,8.65,114.44,5.87,4.93,3.93
25.7634,-80.3731,2,236.99,0.55,9.34,95.84,14.97,4.07,1.62
39.6478,-104.9878,2,190.26,0.35,3.9,77.25,2.17,1.46,0.85
20.3333,-104.5,1,201.94,0.38,0.33,53.64,2.61,2.38,0.12
22.7333,-102.3667,2,195.27,0.56,1.39,69.38,1.95,1.52,0.3
